feature,importance,target
month_cos,11.725014191791095,aqi_target_24h
aqi_change_rate_12h,4.455923863696853,aqi_target_24h
aqi_change_rate_6h,1.0878770288062716,aqi_target_24h
pm2_5_rolling_mean_12h,1.0457257019653619,aqi_target_24h
hour_cos,0.8466105597129279,aqi_target_24h
month_sin,0.778207147761656,aqi_target_24h
is_weekend,0.7460105155831579,aqi_target_24h
pm2_5_rolling_std_24h,0.7203711013256868,aqi_target_24h
aqi_change_rate_3h,0.7065624839156238,aqi_target_24h
pressure,0.7061259886025638,aqi_target_24h
pm2_5_rolling_std_12h,0.5482766025835386,aqi_target_24h
pm2_5_rolling_mean_6h,0.51464764229435,aqi_target_24h
month,0.40437273048853245,aqi_target_24h
aqi,0.3757987190932117,aqi_target_24h
aqi_lag_12h,0.3638972026907992,aqi_target_24h
pm2_5_rolling_mean_24h,0.35023563763845916,aqi_target_24h
aqi_rolling_std_12h,0.31368766449314833,aqi_target_24h
pm2_5_lag_12h,0.30784148090876196,aqi_target_24h
aqi_rolling_mean_12h,0.25715266963679373,aqi_target_24h
hour_sin,0.2382001220981689,aqi_target_24h
aqi_rolling_std_24h,0.23776051984607932,aqi_target_24h
aqi_lag_3h,0.21370025887385544,aqi_target_24h
pm2_5_lag_6h,0.21174133851156493,aqi_target_24h
pm2_5_rolling_std_6h,0.20680773515354864,aqi_target_24h
aqi_lag_24h,0.1993713105945598,aqi_target_24h
aqi_rolling_std_6h,0.1844732186231658,aqi_target_24h
aqi_lag_6h,0.17992935954297298,aqi_target_24h
aqi_rolling_mean_24h,0.1758992250030854,aqi_target_24h
pm10_rolling_std_6h,0.17415523187751622,aqi_target_24h
pm2_5_lag_3h,0.1578286831627681,aqi_target_24h
day_of_week,0.15753310293426998,aqi_target_24h
humidity,0.15081327191150246,aqi_target_24h
aqi_rolling_mean_6h,0.13572203061479707,aqi_target_24h
wind_speed,0.13055035429248646,aqi_target_24h
pm10_lag_1h,0.12711668399635928,aqi_target_24h
pm10_rolling_mean_12h,0.11732191766294692,aqi_target_24h
pm2_5,0.11434995243673692,aqi_target_24h
pm10,0.11423088026334802,aqi_target_24h
so2,0.10047876771631345,aqi_target_24h
pm2_5_lag_24h,0.08088029794893462,aqi_target_24h
pm10_rolling_std_12h,0.07934214499260488,aqi_target_24h
no2,0.07175161628742319,aqi_target_24h
pm10_lag_24h,0.06829987026208505,aqi_target_24h
pm10_lag_3h,0.056998284727744944,aqi_target_24h
pm10_lag_12h,0.050541994667763185,aqi_target_24h
hour,0.04591760835509695,aqi_target_24h
pm10_lag_6h,0.04157625240982475,aqi_target_24h
pm10_rolling_mean_6h,0.030144269781481763,aqi_target_24h
pm10_rolling_std_24h,0.023579704925027034,aqi_target_24h
aqi_lag_1h,0.02261100059934914,aqi_target_24h
temperature,0.019893751644737466,aqi_target_24h
wind_direction,0.018164877519750582,aqi_target_24h
o3,0.016345541841772324,aqi_target_24h
pm2_5_lag_1h,0.014877807896438425,aqi_target_24h
pm10_rolling_mean_24h,0.01461319442694074,aqi_target_24h
co,0.0029352950147183503,aqi_target_24h
month_cos,15.779274508328863,aqi_target_48h
aqi_change_rate_12h,4.519173657725561,aqi_target_48h
month_sin,2.2554754394496803,aqi_target_48h
hour_cos,2.2230027394325784,aqi_target_48h
hour_sin,1.404879678895154,aqi_target_48h
pressure,1.0779538287815518,aqi_target_48h
pm2_5_rolling_mean_6h,0.92079829667852,aqi_target_48h
pm2_5_rolling_mean_12h,0.8186196526315328,aqi_target_48h
is_weekend,0.7725618618146516,aqi_target_48h
pm2_5_rolling_std_6h,0.5920937211298939,aqi_target_48h
pm2_5_rolling_mean_24h,0.4727226178315842,aqi_target_48h
aqi_change_rate_3h,0.4666263646328215,aqi_target_48h
aqi,0.45327963907049695,aqi_target_48h
pm2_5_lag_12h,0.4268267560591272,aqi_target_48h
aqi_lag_12h,0.3769382319429653,aqi_target_48h
aqi_change_rate_6h,0.29463132888856075,aqi_target_48h
pm2_5_lag_3h,0.28977527559316396,aqi_target_48h
temperature,0.2681258639567498,aqi_target_48h
pm2_5_lag_6h,0.25535844836154326,aqi_target_48h
pm10_rolling_std_6h,0.23088520092700957,aqi_target_48h
aqi_rolling_mean_12h,0.21409130461811504,aqi_target_48h
aqi_rolling_mean_6h,0.21298660972866432,aqi_target_48h
aqi_lag_24h,0.20189791741118268,aqi_target_48h
aqi_rolling_std_12h,0.18984269565320203,aqi_target_48h
month,0.1858096698438583,aqi_target_48h
aqi_lag_3h,0.14386364481016736,aqi_target_48h
pm2_5_rolling_std_24h,0.11379056630864179,aqi_target_48h
hour,0.10484856530743587,aqi_target_48h
pm10_lag_1h,0.09965189119444134,aqi_target_48h
pm2_5_rolling_std_12h,0.09219386306865272,aqi_target_48h
aqi_rolling_std_24h,0.07696536900904812,aqi_target_48h
pm2_5_lag_24h,0.07477466062720799,aqi_target_48h
pm10_lag_24h,0.06981135611235077,aqi_target_48h
day_of_week,0.06749309446369009,aqi_target_48h
humidity,0.0674793466082474,aqi_target_48h
pm10_lag_3h,0.0649282493184083,aqi_target_48h
pm10_lag_6h,0.0621954708042918,aqi_target_48h
pm10,0.05943174909624912,aqi_target_48h
pm10_rolling_std_24h,0.05559540276936629,aqi_target_48h
o3,0.04990540892026375,aqi_target_48h
aqi_rolling_std_6h,0.046639341939591766,aqi_target_48h
so2,0.039962491383432885,aqi_target_48h
pm10_lag_12h,0.03869765378411853,aqi_target_48h
wind_speed,0.03354793339047699,aqi_target_48h
aqi_lag_6h,0.03166765284355115,aqi_target_48h
pm10_rolling_std_12h,0.02988148316129606,aqi_target_48h
pm10_rolling_mean_12h,0.026447651695759508,aqi_target_48h
pm2_5,0.02424337787783705,aqi_target_48h
wind_direction,0.021566473586317178,aqi_target_48h
no2,0.01792464016043029,aqi_target_48h
pm10_rolling_mean_6h,0.0158621969163243,aqi_target_48h
aqi_lag_1h,0.013272289298197074,aqi_target_48h
aqi_rolling_mean_24h,0.011961513833586571,aqi_target_48h
pm10_rolling_mean_24h,0.0116835877431707,aqi_target_48h
pm2_5_lag_1h,0.007863589137773207,aqi_target_48h
co,0.0029824378093995354,aqi_target_48h
month_cos,16.99691376684788,aqi_target_72h
aqi_change_rate_12h,3.28241252680262,aqi_target_72h
month_sin,3.137237046623034,aqi_target_72h
hour_cos,3.037039150538445,aqi_target_72h
hour_sin,2.7290524509037883,aqi_target_72h
pressure,1.0494297120869875,aqi_target_72h
pm2_5_rolling_mean_6h,1.0244750421762123,aqi_target_72h
pm2_5_rolling_mean_12h,1.0232508027817697,aqi_target_72h
is_weekend,0.9932132719277924,aqi_target_72h
pm2_5_rolling_mean_24h,0.7092695658335959,aqi_target_72h
pm2_5_lag_12h,0.4527312648069754,aqi_target_72h
aqi_change_rate_3h,0.4469690803473069,aqi_target_72h
aqi,0.42268989289516173,aqi_target_72h
pm2_5_rolling_std_24h,0.3842286012836384,aqi_target_72h
pm2_5_lag_3h,0.35126943762520174,aqi_target_72h
